section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation detected on surface,fixation x [normalized],fixation y [normalized]
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,448,1649868533308482069,1649868533428816069,120,false,1.040152,0.290427
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,449,1649868533636715069,1649868534132473069,495,true,0.231833,0.19713
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,450,1649868534360691069,1649868535504721069,1144,true,0.208087,0.203574
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,451,1649868535556706069,1649868535872736069,316,true,0.943181,0.19158
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,452,1649868535920711069,1649868537696669069,1775,true,0.183063,0.236464
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,454,1649868538252710069,1649868538560905069,308,true,0.237743,0.195878
9d485631-d3e7-4b9e-9846-86c24d17cd85,12cadca8-c51a-4d86-af40-408bb0fd9381,455,1649868538592721069,1649868538792699069,199,true,0.413797,0.144355
e80e2636-dc06-44de-8a26-1cdc42b89df1,339cc055-f012-46c4-b76c-8f3c37239bdf,2,1649867081934670335,1649867083270652335,1335,false,-0.213074,-0.174391
e80e2636-dc06-44de-8a26-1cdc42b89df1,339cc055-f012-46c4-b76c-8f3c37239bdf,3,1649867083290674335,1649867083726706335,436,false,-0.30176,-0.258935
e80e2636-dc06-44de-8a26-1cdc42b89df1,339cc055-f012-46c4-b76c-8f3c37239bdf,4,1649867083742704335,1649867084662681335,919,false,-0.2169,-0.298399
e80e2636-dc06-44de-8a26-1cdc42b89df1,339cc055-f012-46c4-b76c-8f3c37239bdf,5,1649867084742710335,1649867084954692335,211,false,-0.013551,-0.303857
e80e2636-dc06-44de-8a26-1cdc42b89df1,339cc055-f012-46c4-b76c-8f3c37239bdf,6,1649867084974757335,1649867086642674335,1667,false,0.120928,-0.175617
e80e2636-dc06-44de-8a26-1cdc42b89df1,339cc055-f012-46c4-b76c-8f3c37239bdf,7,1649867086662822335,1649867086850714335,187,false,0.384512,-0.022651
e80e2636-dc06-44de-8a26-1cdc42b89df1,339cc055-f012-46c4-b76c-8f3c37239bdf,8,1649867086878693335,1649867088582691335,1703,false,0.629065,0.004826
e80e2636-dc06-44de-8a26-1cdc42b89df1,339cc055-f012-46c4-b76c-8f3c37239bdf,9,1649867088603896335,1649867090622859335,2018,false,1.064557,-0.062611
e80e2636-dc06-44de-8a26-1cdc42b89df1,339cc055-f012-46c4-b76c-8f3c37239bdf,10,1649867090650938335,1649867091030700335,379,false,0.85805,0.069314
e80e2636-dc06-44de-8a26-1cdc42b89df1,339cc055-f012-46c4-b76c-8f3c37239bdf,11,1649867091050730335,1649867094014787335,2964,false,0.870368,0.142411
e80e2636-dc06-44de-8a26-1cdc42b89df1,339cc055-f012-46c4-b76c-8f3c37239bdf,12,1649867094034770335,1649867096518715335,2483,false,1.755856,0.299095
e80e2636-dc06-44de-8a26-1cdc42b89df1,339cc055-f012-46c4-b76c-8f3c37239bdf,13,1649867096538719335,1649867097422689335,883,false,2.459697,0.417821
e80e2636-dc06-44de-8a26-1cdc42b89df1,339cc055-f012-46c4-b76c-8f3c37239bdf,14,1649867097442734335,1649867098550857335,1108,false,2.959452,0.408887
e80e2636-dc06-44de-8a26-1cdc42b89df1,339cc055-f012-46c4-b76c-8f3c37239bdf,15,1649867098570701335,1649867101690709335,3120,false,3.144852,0.459844
e80e2636-dc06-44de-8a26-1cdc42b89df1,339cc055-f012-46c4-b76c-8f3c37239bdf,16,1649867101714708335,1649867102746902335,1032,false,4.920968,0.0256
